entrada_fecha,salida_fecha,precio_entrada,precio_salida,resultado_%,dias_en_posicion
2014-01-06,2014-01-07,1826.77001953125,1837.8800048828125,0.6081764662643919,1
2014-01-27,2014-01-30,1781.56005859375,1794.18994140625,0.708922651895846,3
2014-04-07,2014-04-09,1845.0400390625,1872.1800537109375,1.4709715818540101,2
2014-06-12,2014-06-17,1930.1099853515625,1941.989990234375,0.6155092182815997,5
2014-09-04,2014-09-05,1997.6500244140625,2007.7099609375,0.5035885365550061,1
2014-09-23,2014-10-03,1982.77001953125,1967.9000244140625,-0.7499606596181507,10
2014-12-10,2014-12-17,2026.1400146484375,2012.8900146484375,-0.6539528316999875,7
2015-01-02,2015-01-08,2058.199951171875,2062.139892578125,0.19142656203090083,6
2015-01-13,2015-01-16,2023.030029296875,2019.4200439453125,-0.17844447681368267,3
2015-02-27,2015-03-02,2104.5,2117.389892578125,0.6124919257840342,3
2015-03-25,2015-03-30,2061.050048828125,2086.239990234375,1.2221896998848978,5
2015-05-13,2015-05-14,2098.47998046875,2121.10009765625,1.0779286625573246,1
2015-06-08,2015-06-10,2079.280029296875,2105.199951171875,1.2465815815950978,2
2015-06-26,2015-07-02,2101.489990234375,2076.780029296875,-1.1758305322569795,6
2015-07-23,2015-07-28,2102.14990234375,2093.25,-0.42337144148603445,5
2015-08-04,2015-08-10,2093.320068359375,2104.179931640625,0.5187865651983808,6
2015-11-06,2015-11-17,2099.199951171875,2050.43994140625,-2.322790153382235,11
2016-03-24,2016-03-29,2035.93994140625,2055.010009765625,0.9366714592869108,5
2016-05-05,2016-05-09,2050.6298828125,2058.68994140625,0.3930528205653275,4
2016-05-13,2016-05-16,2046.6099853515625,2066.659912109375,0.979665246496311,3
2016-06-13,2016-06-20,2079.06005859375,2083.25,0.2015305613193312,7
2016-08-26,2016-08-29,2169.0400390625,2180.3798828125,0.5228047221710713,3
2016-09-01,2016-09-02,2170.860107421875,2179.97998046875,0.42010413364248556,1
2016-09-09,2016-09-15,2127.81005859375,2147.260009765625,0.9140830542332004,6
2016-10-27,2016-11-07,2133.0400390625,2131.52001953125,-0.07126071257049958,11
2016-12-30,2017-01-03,2238.830078125,2257.830078125,0.8486575281279197,4
2017-01-30,2017-02-03,2280.89990234375,2297.419921875,0.7242763925885031,4
2017-03-08,2017-03-10,2362.97998046875,2372.60009765625,0.40711801483784194,2
2017-03-20,2017-03-28,2373.469970703125,2358.570068359375,-0.6277687321797462,8
2017-04-13,2017-04-17,2328.949951171875,2349.010009765625,0.8613348940219274,4
2017-06-22,2017-06-26,2434.5,2439.070068359375,0.1877210252361881,4
2017-07-24,2017-07-25,2469.909912109375,2477.1298828125,0.29231716783382333,1
2017-07-31,2017-08-01,2470.300048828125,2476.35009765625,0.24491149692504183,1
2017-08-10,2017-08-14,2438.2099609375,2465.840087890625,1.1332136032493743,4
2017-12-05,2017-12-07,2629.570068359375,2636.97998046875,0.2817917726755289,2
2018-02-05,2018-02-12,2648.93994140625,2656.0,0.2665239208859529,7
2018-03-01,2018-03-05,2677.669921875,2720.93994140625,1.6159579333419403,4
2018-03-14,2018-03-29,2749.47998046875,2640.8701171875,-3.9501965481753922,15
2018-05-29,2018-05-30,2689.860107421875,2724.010009765625,1.2695791223314337,1
2018-06-19,2018-06-29,2762.590087890625,2718.3701171875,-1.6006707219053677,10
2018-07-30,2018-08-02,2802.60009765625,2827.219970703125,0.8784654317062228,3
2018-08-10,2018-08-16,2833.280029296875,2840.68994140625,0.2615312299791945,6
2018-09-06,2018-09-11,2878.050048828125,2887.889892578125,0.3418927253890722,5
2018-09-25,2018-09-28,2915.56005859375,2913.97998046875,-0.05419466905998543,3
2018-10-08,2018-10-16,2884.429931640625,2809.919921875,-2.5831797454426186,8
2019-02-28,2019-03-01,2784.489990234375,2803.68994140625,0.6895320593434386,1
2019-03-06,2019-03-11,2771.449951171875,2783.300048828125,0.4275775447880387,5
2019-05-08,2019-05-15,2879.419921875,2850.9599609375,-0.9883921661196137,7
2019-06-25,2019-06-28,2917.3798828125,2941.760009765625,0.8356857156916204,3
2019-07-31,2019-08-08,2980.3798828125,2938.090087890625,-1.4189397521354667,8
2019-09-24,2019-09-30,2966.60009765625,2976.739990234375,0.3418018015348944,6
2019-11-21,2019-11-25,3103.5400390625,3133.639892578125,0.969855492011548,4
2019-12-03,2019-12-05,3093.199951171875,3117.429931640625,0.7833305590080055,2
2020-02-24,2020-03-02,3225.889892578125,3090.22998046875,-4.205348496905946,7
2020-09-08,2020-09-14,3331.840087890625,3383.5400390625,1.551693652998996,6
2020-09-18,2020-09-25,3319.469970703125,3298.4599609375,-0.6329326654873968,7
2020-10-15,2020-10-22,3483.340087890625,3453.489990234375,-0.8569389408751661,7
2020-10-28,2020-11-03,3271.030029296875,3369.159912109375,2.9999688762745333,6
2020-12-11,2020-12-15,3663.4599609375,3694.6201171875,0.8505663111444499,4
2020-12-22,2020-12-24,3687.260009765625,3703.06005859375,0.4285037883490431,2
2021-02-18,2021-02-24,3913.969970703125,3925.429931640625,0.29279634292751805,6
2021-03-04,2021-03-05,3768.469970703125,3841.93994140625,1.949596819778211,1
2021-05-12,2021-05-14,4063.0400390625,4173.85009765625,2.7272696682388133,2
2021-05-19,2021-05-20,4115.68017578125,4159.1201171875,1.0554741756143409,1
2021-06-17,2021-06-21,4221.85986328125,4224.7900390625,0.06940485653573195,4
2021-07-19,2021-07-21,4258.490234375,4358.68994140625,2.3529396926269075,2
2021-09-08,2021-09-15,4514.06982421875,4480.7001953125,-0.7392359933649294,7
2021-09-20,2021-09-23,4357.72998046875,4448.97998046875,2.0939801320637232,3
2021-10-12,2021-10-14,4350.64990234375,4438.259765625,2.0137189902146218,2
2021-12-20,2021-12-21,4568.02001953125,4649.22998046875,1.777793455157261,1
2022-01-06,2022-01-11,4696.0498046875,4713.06982421875,0.3624326878786713,5
2022-01-20,2022-01-28,4482.72998046875,4431.85009765625,-1.1350200220442364,8
2023-02-21,2023-03-02,3997.340087890625,3981.35009765625,-0.40001575754873614,9
2023-05-03,2023-05-05,4090.75,4136.25,1.1122654769907718,2
2023-06-21,2023-06-27,4365.68994140625,4378.41015625,0.2913678024429889,6
2023-07-07,2023-07-11,4398.9501953125,4439.259765625,0.9163452306292006,4
2023-08-03,2023-08-07,4501.89013671875,4518.43994140625,0.36761902633995636,4
2023-08-17,2023-08-21,4370.35986328125,4399.77001953125,0.6729458710505126,4
2023-09-07,2023-09-11,4451.14013671875,4487.4599609375,0.8159667658885237,4
2023-09-21,2023-10-02,4330.0,4288.39013671875,-0.9609668194284064,11
2023-10-19,2023-10-31,4278.0,4193.7998046875,-1.9682140091748481,12
2023-12-06,2023-12-07,4549.33984375,4585.58984375,0.7968189065892974,1
2024-01-03,2024-01-08,4704.81005859375,4763.5400390625,1.2482965249888147,5
2024-03-15,2024-03-19,5117.08984375,5178.509765625,1.2002900818717914,4
2024-03-26,2024-03-27,5203.580078125,5248.490234375,0.8630626525532864,1
2024-04-16,2024-04-23,5051.41015625,5070.5498046875,0.3788971365514425,7
2024-06-24,2024-06-25,5447.8701171875,5469.2998046875,0.393359001573687,1
2024-07-19,2024-07-23,5505.0,5555.740234375,0.9217117960944595,4
2024-07-25,2024-07-29,5399.22021484375,5463.5400390625,1.1912798822674318,4
2024-08-05,2024-08-08,5186.330078125,5319.31005859375,2.5640477652904403,3
2024-09-05,2024-09-10,5503.41015625,5495.52001953125,-0.14336813893090436,5
2024-10-23,2024-10-28,5797.419921875,5823.52001953125,0.4502019520402226,5
2024-12-19,2024-12-23,5867.080078125,5974.06982421875,1.823560351471149,4
2024-12-30,2025-01-03,5906.93994140625,5942.47021484375,0.6015005026281239,4
2025-02-24,2025-02-28,5983.25,5954.5,-0.48050808507082265,4
2025-05-22,2025-05-27,5842.009765625,5921.5400390625,1.3613512580116605,5
2025-06-20,2025-06-23,5967.83984375,6025.169921875,0.960650413315643,3
2025-07-31,2025-08-04,6339.39013671875,6329.93994140625,-0.14907104798240725,4
2025-08-19,2025-08-22,6411.3701171875,6466.91015625,0.8662741044010099,3
2025-09-25,2025-09-29,6604.72021484375,6661.2099609375,0.8552935515238385,4
2025-11-17,2025-11-24,6672.41015625,6705.1201171875,0.4902270719503178,7
2025-12-16,2025-12-19,6800.259765625,6834.5,0.503513623818943,3
2025-12-30,2026-01-05,6896.240234375,6902.0498046875,0.08424257443268311,6
2026-01-30,2026-02-02,6939.02978515625,6976.43994140625,0.5391266129167885,3
2026-02-05,2026-02-06,6798.39990234375,6932.2998046875,1.9695796697335792,1
2026-02-12,2026-02-18,6832.759765625,6881.31005859375,0.7105517336201714,6
2026-03-12,2026-03-17,6672.6201171875,6716.08984375,0.6514641295183222,5
2026-05-19,2026-05-20,7353.60986328125,7432.97021484375,1.0792026370445584,1
2026-06-24,2026-06-29,7358.22021484375,7440.43017578125,1.117253337589132,5
2026-07-20,2026-07-21,7443.27978515625,7509.2001953125,0.8856366018608045,1
2026-08-18,2026-08-25,7691.759765625,7669.14013671875,-0.29407612296133673,7
