Fecha,Día,Modelo de entrada,Patrón de entrada,Hora apertura (NY),Hora cierre  (NY),Buy / Sell,Resultado,Beneficio (R),Trades tp,Trades sl,Fecha_dt,Beneficio_R,es_hedge,modelo_limpio,dia_norm,sesion,semana_iso
24/06/2026,miercoles,MEC,Envolvente,08:49,08:59,Sell,Take Profit,1.0,1.0,,2026-06-24,1.0,False,MEC,miercoles,Pre-NY,2026-W26
25/06/2026,jueves,MER,Envolvente,07:39,08:30,Buy,Take Profit,1.0,1.0,,2026-06-25,1.0,False,MER,jueves,Pre-NY,2026-W26
29/06/2026,lunes,MEC,Envolvente,20:36,20:42,Sell,Take Profit,1.0,1.0,,2026-06-29,1.0,False,MEC,lunes,Asia,2026-W27
30/06/2026,martes,MER,Envolvente,07:25,07:41,Sell,Stop Loss,-1.0,,1.0,2026-06-30,-1.0,False,MER,martes,Pre-NY,2026-W27
30/06/2026,martes,MEC,Star,08:20,08:23,Sell,Take Profit,1.0,1.0,,2026-06-30,1.0,False,MEC,martes,Pre-NY,2026-W27
01/07/2026,miercoles,MEC,Envolvente,07:21,08:50,Buy,Break Even,,,,2026-07-01,0.0,False,MEC,miercoles,Pre-NY,2026-W27
01/07/2026,miercoles,MEC,Envolvente,,20:10,Sell,Take Profit,1.0,1.0,,2026-07-01,1.0,False,MEC,miercoles,Asia,2026-W27
02/07/2026,jueves,MEC,Envolvente,,20:14,Buy,Take Profit,1.0,1.0,,2026-07-02,1.0,False,MEC,jueves,Asia,2026-W27
06/07/2026,lunes,MER,Envolvente,07:29,08:21,Sell,Take Profit,1.0,1.0,,2026-07-06,1.0,False,MER,lunes,Pre-NY,2026-W28
06/07/2026,lunes,MEC,Envolvente,,21:10,Sell,Take Profit,1.0,1.0,,2026-07-06,1.0,False,MEC,lunes,Asia,2026-W28
07/07/2026,martes,MER,Envolvente,07:18,07:45,Buy,Take Profit,1.0,1.0,,2026-07-07,1.0,False,MER,martes,Pre-NY,2026-W28
13/07/2026,lunes,MER,Envolvente,08:00,08:12,Sell,Stop Loss,-1.0,,1.0,2026-07-13,-1.0,False,MER,lunes,Pre-NY,2026-W29
13/07/2026,lunes,MEC,Envolvente,08:43,08:59,Buy,Take Profit,1.0,1.0,,2026-07-13,1.0,False,MEC,lunes,Pre-NY,2026-W29
13/07/2026,lunes,MER,Envolvente,20:02,20:07,Sell,Take Profit,1.0,1.0,,2026-07-13,1.0,False,MER,lunes,Asia,2026-W29
15/07/2026,miercoles,MEC,Envolvente,08:32,08:58,Buy,Take Profit,1.0,1.0,,2026-07-15,1.0,False,MEC,miercoles,Pre-NY,2026-W29
15/07/2026,miercoles,MEC,Envolvente,21:23,22:16,Sell,Take Profit,1.0,1.0,,2026-07-15,1.0,False,MEC,miercoles,Asia,2026-W29
20/07/2026,Lunes,MEC,Envolvente,20:19,20:51,Buy,Take Profit,1,1.0,,2026-07-20,1.0,False,MEC,lunes,Asia,2026-W30
21/07/2026,martes,MEC,Envolvente,08:23,08:35,Buy,Stop Loss,-1.0,,1.0,2026-07-21,-1.0,False,MEC,martes,Pre-NY,2026-W30
22/07/2026,miercoles,MEC,Envolvente,07:09,07:17,Buy,Take Profit,1.0,1.0,,2026-07-22,1.0,False,MEC,miercoles,Pre-NY,2026-W30
22/07/2026,Miércoles,MER,,21:30,21:48,Sell,Take Profit,1,1.0,,2026-07-22,1.0,False,MER,miércoles,Asia,2026-W30
27/07/2026,lunes,MER,Envolvente,07:08,07:19,Buy,Stop Loss,-0.5,,1.0,2026-07-27,-0.5,False,MER,lunes,Pre-NY,2026-W31
27/07/2026,lunes,MER,Envolvente,07:19,07:29,Sell,Take Profit,1.0,1.0,,2026-07-27,1.0,False,MER,lunes,Pre-NY,2026-W31
27/07/2026,Lunes,MER,,20:33,20:48,Buy,Stop Loss,-1,,1.0,2026-07-27,-1.0,False,MER,lunes,Asia,2026-W31
28/07/2026,martes,MER,Envolvente,07:03,07:04,Sell,Stop Loss,-1.0,,1.0,2026-07-28,-1.0,False,MER,martes,Pre-NY,2026-W31
29/07/2026,miercoles,MER,Envolvente,07:14,07:32,Buy,Take Profit,0.5,1.0,,2026-07-29,0.5,False,MER,miercoles,Pre-NY,2026-W31
