fecha,hora,dir,estado,modelo
2026-08-06,09:19,BUY,EXACTO,MEC-A
2026-08-10,09:02,SELL,EXACTO,MEC-A
2026-08-10,09:46,SELL,EXACTO,MEC-A
2026-08-11,10:41,BUY,EXACTO,MEC-A
2026-08-14,09:46 ,SELL,EXACTO,MEC-A
2026-08-14,09:34 ,BUY,EXACTO,MEC-A
2026-08-18,09:51 ,SELL,EXACTO,MEC-A
2026-08-19,09:35 ,SELL,EXACTO,MEC-A
2026-08-19,09:43 ,BUY,EXACTO,MEC-A
2026-08-20,10:45 ,BUY,EXACTO,MEC-A
2026-08-21,09:37 ,BUY,EXACTO,MER
2026-08-24,10:20 ,BUY,EXACTO,MEC-A
2026-08-24,10:42 ,SELL,EXACTO,MEC-A
2026-08-25,10:19 ,SELL,NO_EXACTO,
2026-08-25,10:24 ,BUY,EXACTO,MEC-A
2026-08-26,09:59 ,BUY,EXACTO,MEC-A
2026-08-26,10:59 ,SELL,EXACTO,MEC-A
2026-08-27,09:34 ,SELL,EXACTO,MEC-A
2026-08-27,10:20 ,BUY,EXACTO,MEC-A
