t_entrada,R,direccion,t_ny,hora_ny
2025-11-05 10:01:00+00:00,0.9,-1,2025-11-05 05:01:00-05:00,5
2025-11-05 10:02:00+00:00,0.9,-1,2025-11-05 05:02:00-05:00,5
2025-11-05 10:12:00+00:00,-1.0,-1,2025-11-05 05:12:00-05:00,5
2025-11-05 13:08:00+00:00,-1.0,1,2025-11-05 08:08:00-05:00,8
2025-11-05 13:16:00+00:00,-1.0,-1,2025-11-05 08:16:00-05:00,8
2025-11-05 13:23:00+00:00,0.9,1,2025-11-05 08:23:00-05:00,8
2025-11-05 14:25:00+00:00,-1.0,1,2025-11-05 09:25:00-05:00,9
2025-11-05 14:41:00+00:00,0.9,-1,2025-11-05 09:41:00-05:00,9
2025-11-05 14:57:00+00:00,0.9,-1,2025-11-05 09:57:00-05:00,9
2025-11-05 15:00:00+00:00,-1.0,-1,2025-11-05 10:00:00-05:00,10
2025-11-05 15:29:00+00:00,0.9,1,2025-11-05 10:29:00-05:00,10
2025-11-05 17:06:00+00:00,0.9,-1,2025-11-05 12:06:00-05:00,12
2025-11-05 17:21:00+00:00,-1.0,-1,2025-11-05 12:21:00-05:00,12
2025-11-05 18:20:00+00:00,-1.0,1,2025-11-05 13:20:00-05:00,13
2025-11-05 18:42:00+00:00,-1.0,-1,2025-11-05 13:42:00-05:00,13
2025-11-05 19:42:00+00:00,-1.0,1,2025-11-05 14:42:00-05:00,14
2025-11-05 23:25:00+00:00,-1.0,-1,2025-11-05 18:25:00-05:00,18
2025-11-05 23:30:00+00:00,0.9,1,2025-11-05 18:30:00-05:00,18
2025-11-05 23:44:00+00:00,-1.0,1,2025-11-05 18:44:00-05:00,18
2025-11-06 01:07:00+00:00,-1.0,-1,2025-11-05 20:07:00-05:00,20
2025-11-06 02:02:00+00:00,0.9,1,2025-11-05 21:02:00-05:00,21
2025-11-06 02:33:00+00:00,0.9,1,2025-11-05 21:33:00-05:00,21
2025-11-06 06:55:00+00:00,0.9,1,2025-11-06 01:55:00-05:00,1
2025-11-06 07:16:00+00:00,0.9,1,2025-11-06 02:16:00-05:00,2
2025-11-06 07:20:00+00:00,0.9,1,2025-11-06 02:20:00-05:00,2
