time,open,high,low,close,n_ticks
2026-08-18 10:54:00+00:00,4397.29,4397.485000000001,4396.469999999999,4396.96,94
2026-08-18 10:55:00+00:00,4397.01,4397.264999999999,4396.475,4397.03,142
2026-08-18 10:56:00+00:00,4396.985000000001,4397.584999999999,4396.83,4397.05,113
2026-08-18 10:57:00+00:00,4396.889999999999,4397.295,4396.805,4397.085,105
2026-08-18 10:58:00+00:00,4397.05,4397.77,4397.0,4397.445,111
2026-08-18 10:59:00+00:00,4397.395,4397.84,4397.09,4397.715,117
2026-08-18 11:00:00+00:00,4397.875,4398.32,4396.764999999999,4397.495,253
2026-08-18 11:01:00+00:00,4397.575,4398.495000000001,4397.42,4398.225,173
2026-08-18 11:02:00+00:00,4398.139999999999,4399.18,4397.97,4398.21,155
2026-08-18 11:03:00+00:00,4398.205,4398.205,4395.595,4395.665,142
2026-08-18 11:04:00+00:00,4395.66,4395.76,4393.63,4393.965,160
2026-08-18 11:05:00+00:00,4393.91,4394.605,4393.725,4394.43,148
2026-08-18 11:06:00+00:00,4394.285,4394.725,4393.75,4393.92,123
2026-08-18 11:07:00+00:00,4393.96,4393.96,4392.59,4393.73,119
2026-08-18 11:08:00+00:00,4393.72,4394.625,4393.72,4394.625,85
2026-08-18 11:09:00+00:00,4394.655000000001,4394.655000000001,4393.615,4393.68,99
2026-08-18 11:10:00+00:00,4393.7,4394.16,4393.09,4393.9,114
2026-08-18 11:11:00+00:00,4393.855,4393.855,4392.02,4392.3099999999995,115
2026-08-18 11:12:00+00:00,4392.33,4393.51,4392.33,4392.9,107
2026-08-18 11:13:00+00:00,4392.88,4394.04,4392.76,4393.875,103
2026-08-18 11:14:00+00:00,4393.83,4393.99,4393.530000000001,4393.635,62
2026-08-18 11:15:00+00:00,4393.629999999999,4394.725,4393.155000000001,4393.885,123
2026-08-18 11:16:00+00:00,4394.0,4394.295,4393.515,4393.74,114
2026-08-18 11:17:00+00:00,4393.775,4393.775,4392.34,4392.5599999999995,105
2026-08-18 11:18:00+00:00,4392.51,4392.955,4392.264999999999,4392.76,104
2026-08-18 11:19:00+00:00,4392.85,4393.285,4392.135,4393.155000000001,128
2026-08-18 11:20:00+00:00,4393.225,4393.955,4392.51,4392.615,141
2026-08-18 11:21:00+00:00,4392.63,4393.21,4392.255,4392.88,108
2026-08-18 11:22:00+00:00,4392.889999999999,4392.96,4392.205,4392.205,113
2026-08-18 11:23:00+00:00,4392.29,4392.4,4391.175,4391.365,150
2026-08-18 11:24:00+00:00,4391.355,4391.385,4390.375,4390.4400000000005,110
2026-08-18 11:25:00+00:00,4390.485000000001,4391.03,4390.175,4390.785,145
2026-08-18 11:26:00+00:00,4390.645,4391.64,4390.37,4391.33,129
2026-08-18 11:27:00+00:00,4391.29,4391.895,4390.405000000001,4390.615,102
2026-08-18 11:28:00+00:00,4390.57,4391.395,4390.46,4390.88,137
2026-08-18 11:29:00+00:00,4390.865,4391.219999999999,4389.65,4390.1,128
2026-08-18 11:30:00+00:00,4390.15,4391.98,4389.764999999999,4390.639999999999,187
2026-08-18 11:31:00+00:00,4390.575000000001,4390.84,4389.99,4390.075,147
2026-08-18 11:32:00+00:00,4390.055,4390.665,4389.85,4390.155000000001,125
2026-08-18 11:33:00+00:00,4390.1849999999995,4390.514999999999,4389.59,4390.115,147
2026-08-18 11:34:00+00:00,4389.975,4390.085,4389.415000000001,4389.58,91
2026-08-18 11:35:00+00:00,4389.6900000000005,4390.42,4388.620000000001,4390.285,145
2026-08-18 11:36:00+00:00,4390.305,4391.379999999999,4389.585,4391.325,131
2026-08-18 11:37:00+00:00,4391.3150000000005,4391.42,4389.360000000001,4389.485000000001,128
2026-08-18 11:38:00+00:00,4389.525,4390.995,4389.425,4390.6,118
2026-08-18 11:39:00+00:00,4390.535,4391.754999999999,4390.49,4390.49,118
2026-08-18 11:40:00+00:00,4390.455,4392.105,4389.610000000001,4392.05,158
2026-08-18 11:41:00+00:00,4392.09,4392.505,4391.22,4391.54,173
2026-08-18 11:42:00+00:00,4391.42,4392.205,4390.889999999999,4392.139999999999,120
2026-08-18 11:43:00+00:00,4392.105,4392.495,4391.285,4391.389999999999,124
2026-08-18 11:44:00+00:00,4391.27,4391.705,4390.695,4390.995,89
2026-08-18 11:45:00+00:00,4390.9400000000005,4393.025,4390.844999999999,4393.025,110
2026-08-18 11:46:00+00:00,4393.04,4393.865,4392.24,4392.75,156
2026-08-18 11:47:00+00:00,4392.735000000001,4393.530000000001,4392.59,4393.530000000001,97
2026-08-18 11:48:00+00:00,4393.43,4393.725,4392.995,4393.4349999999995,122
2026-08-18 11:49:00+00:00,4393.415,4393.4349999999995,4392.085,4392.335,81
2026-08-18 11:50:00+00:00,4392.385,4392.845,4391.975,4392.65,125
2026-08-18 11:51:00+00:00,4392.71,4393.08,4391.87,4391.945,131
2026-08-18 11:52:00+00:00,4391.985000000001,4391.985000000001,4391.205,4391.36,115
2026-08-18 11:53:00+00:00,4391.415,4391.415,4389.95,4390.805,129
2026-08-18 11:54:00+00:00,4390.8099999999995,4391.014999999999,4390.52,4390.895,84
2026-08-18 11:55:00+00:00,4391.05,4392.145,4390.75,4391.675,130
2026-08-18 11:56:00+00:00,4391.645,4392.63,4390.705,4392.605,139
2026-08-18 11:57:00+00:00,4392.725,4395.38,4392.715,4394.969999999999,184
2026-08-18 11:58:00+00:00,4395.055,4396.094999999999,4394.885,4396.01,203
2026-08-18 11:59:00+00:00,4396.015,4396.9,4395.865,4396.085,159
2026-08-18 12:00:00+00:00,4396.26,4396.26,4393.245000000001,4393.35,237
2026-08-18 12:01:00+00:00,4393.455,4393.66,4391.549999999999,4393.275,204
2026-08-18 12:02:00+00:00,4393.264999999999,4393.365,4392.7,4392.76,128
2026-08-18 12:03:00+00:00,4392.79,4393.925,4392.52,4393.514999999999,141
2026-08-18 12:04:00+00:00,4393.4400000000005,4397.0650000000005,4393.4400000000005,4396.655000000001,277
2026-08-18 12:05:00+00:00,4396.6900000000005,4397.030000000001,4395.48,4397.005,239
2026-08-18 12:06:00+00:00,4396.99,4397.165,4394.5,4394.715,209
2026-08-18 12:07:00+00:00,4394.695,4394.93,4392.125,4392.639999999999,202
2026-08-18 12:08:00+00:00,4392.66,4393.245,4391.415,4391.66,222
2026-08-18 12:09:00+00:00,4391.675,4392.139999999999,4390.45,4391.264999999999,229
2026-08-18 12:10:00+00:00,4391.27,4391.924999999999,4390.5650000000005,4391.42,232
2026-08-18 12:11:00+00:00,4391.365,4391.795,4389.639999999999,4391.28,202
2026-08-18 12:12:00+00:00,4391.285,4391.955,4391.0599999999995,4391.745,170
2026-08-18 12:13:00+00:00,4391.755,4392.405000000001,4390.535,4390.7,145
2026-08-18 12:14:00+00:00,4390.625,4393.45,4390.344999999999,4393.25,139
2026-08-18 12:15:00+00:00,4393.3099999999995,4393.795,4391.59,4392.075,165
2026-08-18 12:16:00+00:00,4392.145,4393.639999999999,4392.1,4392.615,154
2026-08-18 12:17:00+00:00,4392.475,4392.9400000000005,4391.65,4392.049999999999,184
2026-08-18 12:18:00+00:00,4392.01,4392.37,4391.855,4392.25,138
2026-08-18 12:19:00+00:00,4392.15,4393.05,4391.675,4393.05,151
2026-08-18 12:20:00+00:00,4393.1849999999995,4399.145,4392.93,4398.6900000000005,373
2026-08-18 12:21:00+00:00,4398.84,4400.865,4398.05,4399.045,294
2026-08-18 12:22:00+00:00,4399.17,4399.6900000000005,4398.47,4398.6,240
2026-08-18 12:23:00+00:00,4398.610000000001,4399.125,4397.16,4397.889999999999,212
2026-08-18 12:24:00+00:00,4397.88,4399.09,4394.905,4395.755,245
2026-08-18 12:25:00+00:00,4395.895,4395.99,4393.34,4395.07,245
2026-08-18 12:26:00+00:00,4395.084999999999,4395.66,4393.635,4394.385,184
2026-08-18 12:27:00+00:00,4394.41,4394.75,4392.16,4392.805,161
2026-08-18 12:28:00+00:00,4392.93,4394.5,4392.004999999999,4394.5,179
2026-08-18 12:29:00+00:00,4394.545,4396.105,4394.545,4395.4,147
2026-08-18 12:30:00+00:00,4395.4400000000005,4398.16,4393.385,4393.385,274
