dir,fin_idx,resultado,dist_1_antes,dist_2_antes,dist_3_antes,dist_max,largo
-1,413,reversion,0.21875263365754138,0.6981362398424196,0.4989187734257784,5.005113687748504,8
1,417,continuacion,0.682449556412102,0.672865433064125,0.4035414043173918,0.682449556412102,3
1,421,reversion,0.33687405800428166,0.27973419195060834,,0.33687405800428166,2
-1,432,continuacion,0.8142212438954781,0.809208191682769,1.7298955063421178,1.7298955063421178,7
-1,435,continuacion,0.22346964063574834,,,0.22346964063574834,1
1,437,reversion,0.03111530100862544,,,0.03111530100862544,1
-1,446,continuacion,0.5748073359541526,0.35341427174681417,,0.5748073359541526,2
-1,460,reversion,0.4349704941605394,1.5965731756469923,2.5149454426497106,2.701562418522441,9
-1,462,reversion,0.32693670158056637,,,0.32693670158056637,1
-1,464,reversion,0.45291070976802994,,,0.45291070976802994,1
1,479,continuacion,0.658304445971701,0.48461824681906174,0.8833357531701099,1.8906325801780102,13
-1,486,reversion,0.7129849906255953,,,0.7129849906255953,1
1,491,continuacion,0.759324116169692,0.3575052774029372,1.048311625086473,1.048311625086473,4
1,502,reversion,0.9579764756334924,1.4540493915983632,1.8218792991711863,1.8218792991711863,10
-1,507,continuacion,0.15984638631020345,,,0.15984638631020345,1
-1,514,continuacion,1.5123518874054203,1.4311636155366507,2.203764786456156,2.203764786456156,6
1,516,reversion,1.0249180975923802,,,1.0249180975923802,1
-1,519,continuacion,0.6568258007810623,0.39316982317829646,,0.6568258007810623,2
-1,527,continuacion,0.3530972265653664,0.1406840793238088,0.05656518982388752,0.3530972265653664,3
1,529,reversion,0.13590299996368024,,,0.13590299996368024,1
-1,535,reversion,0.38875989416834567,0.8316657220759047,0.9162851725323851,1.4548164027490207,5
1,544,reversion,0.47352246363343325,0.9158733823704216,1.1217987532196911,1.3133366387503285,9
-1,550,continuacion,0.2679166647896655,0.842434135414798,0.6780063933681033,0.8864197737174494,5
-1,555,continuacion,1.436080101192401,1.5969017908908363,1.396187030506364,1.5969017908908363,4
-1,564,continuacion,1.033233138891175,1.2281697015427022,1.3498069568474078,1.634208228593849,8
-1,568,continuacion,1.1924379600964592,,,1.1924379600964592,1
1,574,reversion,0.6325047747099004,,,0.6325047747099004,1
-1,576,continuacion,0.25307061058826236,,,0.25307061058826236,1
-1,584,reversion,0.1129530243310168,0.5827787652417603,1.0132838789767753,1.5682269484687612,5
1,589,continuacion,0.9851820189929219,,,0.9851820189929219,1
1,591,continuacion,0.2703724264797051,,,0.2703724264797051,1
1,598,continuacion,0.18335926313061868,0.09929269255100841,0.5429784217541417,0.9853936593304454,6
1,604,continuacion,0.8042400512496779,1.0402707222510406,,1.0402707222510406,2
1,606,continuacion,0.591376198274661,,,0.591376198274661,1
1,611,continuacion,0.2836645937645496,,,0.2836645937645496,1
1,626,continuacion,0.5642732789146239,0.46985909319503566,1.5541737349597422,2.0738162843871537,14
1,630,continuacion,0.5173396926637343,0.4710082554925898,1.3542341899681127,1.3542341899681127,3
1,638,reversion,0.8121043869102864,1.411597659905631,1.3357849980482486,1.493588114669728,4
-1,651,reversion,0.8960438782755603,0.6932604669847247,1.5836880757762348,1.7342421287278806,11
1,658,reversion,1.0836741771381404,0.7438294524536478,0.985340677283546,1.0836741771381404,3
-1,664,reversion,0.7413674109479284,1.1324799763555347,0.9241277973994176,1.1324799763555347,5
-1,670,reversion,0.7060639131260701,,,0.7060639131260701,1
1,673,reversion,0.5809088030974517,0.7291700988741207,,0.7291700988741207,2
-1,676,continuacion,0.5058387885578307,0.580446248758494,,0.580446248758494,2
-1,684,continuacion,0.5414195276109901,0.04672377165756542,0.1282322574607471,0.5414195276109901,4
1,685,reversion,0.10335145134244958,,,0.10335145134244958,1
-1,686,continuacion,0.1878209771109579,,,0.1878209771109579,1
-1,694,reversion,0.35093612812836783,1.3304672657149448,1.584374409235807,2.2895138409317486,7
1,698,continuacion,0.3698033860414408,,,0.3698033860414408,1
1,701,continuacion,0.9609910087180692,1.09171467057889,,1.09171467057889,2
1,713,continuacion,1.204393516249884,1.071514749941334,0.9349064581285119,2.921830436225576,10
1,719,reversion,1.0216874801037243,1.3496795906022816,0.4627476449724421,1.3496795906022816,3
-1,722,continuacion,1.080834378442685,1.5054618905311676,,1.5054618905311676,2
-1,729,continuacion,0.2143295508505486,1.3011441036429794,0.48368415917376406,1.3011441036429794,4
-1,736,reversion,0.7431307190751155,0.6137001596105032,0.27712556198609434,1.3757201101757581,4
1,741,reversion,0.43092919383612854,0.5071137886027174,0.6353243650171848,0.9454970319920188,4
1,743,reversion,0.5936333827111436,,,0.5936333827111436,1
-1,750,continuacion,1.0661778556482584,1.1657750894588144,1.8151588507277245,1.8151588507277245,6
-1,752,continuacion,0.46889451221157435,,,0.46889451221157435,1
-1,776,continuacion,0.43084188711858074,0.9713288593327056,0.5110481156945729,2.0190496064433643,21
-1,779,reversion,0.4115810777919698,1.9067606890292177,,1.9067606890292177,2
1,791,reversion,0.6171382396660515,1.3229332011544432,0.9781435725218216,1.5709006145912956,10
-1,807,reversion,0.40825336476941504,0.6427217672992898,0.5325982801682942,3.3763677152467557,16
1,816,continuacion,0.4551972593019313,0.591582135908,0.5739542127346877,1.1908386218368456,8
1,821,continuacion,0.4278119960910326,,,0.4278119960910326,1
